Accession number	n-region count	h-region count	c-region count	SP type
D5U298	4	17	3	SP
D5U2N0	4	14	5	SP
D5U2R7	5	13	11	SP
D5U2W3	3	15	8	SP
D5U337	3	18	5	SP
D5U0Z1	4	20	3	SP
D5U1M6	2	12	5	SP
D5U0G6	4	14	6	SP
D5U1I9	4	16	5	SP
D5U2J7	3	15	5	SP
D5U2N8	2	17	5	SP
D5TZY0	2	4	6	SP
D5TZU1	4	12	5	SP
D5U1L2	2	13	4	SP
D5U1V3	4	15	10	SP
D5U376	9	16	6	SP
D5U3A1	0	13	6	LIPO
D5U041	2	17	0	LIPO
D5U0Y9	4	15	8	SP
D5U1J0	2	16	6	SP
D5U0R5	3	19	7	SP
D5U214	3	14	3	SP
D5U2G9	2	14	5	SP
D5U220	12	17	7	SP
D5U063	3	13	5	SP
D5U225	4	20	7	SP
D5U0Z0	9	17	4	SP
D5U1E8	7	16	7	SP
D5U1L8	4	11	10	SP
D5U2A6	2	18	3	SP
D5U365	3	18	6	SP
D5U1H5	3	19	4	SP
D5U0M3	3	18	3	SP
D5U104	5	18	7	SP
D5U3B5	4	14	4	SP
D5U2X5	5	0	0	PILIN
D5U1N2	5	0	0	PILIN
